username,tool,start_time,end_time,duration
devyben17,alien database,4/3/14 14:44,4/3/14 14:46,92.403134
devyben17,spectra,4/3/14 14:44,4/3/14 14:45,39.11127
devyben17,spectra,4/3/14 14:45,4/3/14 14:45,6.161736
devyben17,solar system,4/3/14 14:48,4/3/14 14:52,207.724703
devyben17,alien database,4/4/14 14:42,4/4/14 14:48,388.740431
devyben17,solar system,4/4/14 14:43,4/4/14 14:48,303.880943
devyben17,spectra,4/4/14 14:44,4/4/14 14:44,19.466159
mustache_man ,probe launch,3/17/14 14:43,3/17/14 14:43,6.214442
mustache_man ,probe design,3/17/14 14:43,3/17/14 14:47,230.828581
mustache_man ,probe design,3/17/14 14:46,3/17/14 14:47,78.818122
mustache_man ,missions,3/17/14 14:46,3/17/14 14:46,3.913515
mustache_man ,notebook,3/17/14 14:47,3/17/14 14:47,3.740491
mustache_man ,solar system,3/17/14 14:47,3/17/14 14:47,3.365878
mustache_man ,missions,3/17/14 14:47,3/17/14 14:47,5.716791
mustache_man ,concepts,3/17/14 14:47,3/17/14 14:47,2.626875
backhandspring,alien database,3/17/14 14:49,3/17/14 14:49,9.831826
backhandspring,probe launch,3/17/14 14:49,3/17/14 14:50,6.711714
backhandspring,mission control,3/17/14 14:52,3/17/14 14:52,3.711639
backhandspring,probe design,3/17/14 14:53,3/17/14 14:53,2.972769
backhandspring,alien database,3/18/14 14:54,3/18/14 14:54,19.721525
backhandspring,spectra,3/20/14 14:33,3/20/14 14:33,2.784141
backhandspring,notebook,3/20/14 14:33,3/20/14 14:33,2.675207
backhandspring,probe design,3/20/14 14:36,3/20/14 14:36,3.320315
backhandspring,alien database,3/20/14 14:37,3/20/14 14:37,24.140292
backhandspring,alien database,3/20/14 14:38,3/20/14 14:38,31.681021
backhandspring,solar system,3/20/14 14:38,3/20/14 14:38,26.903742
backhandspring,concepts,3/20/14 14:38,3/20/14 14:38,8.813636
backhandspring,alien database,3/20/14 14:39,3/20/14 14:53,836.522117
backhandspring,spectra,3/20/14 14:49,3/20/14 14:51,111.400242
backhandspring,periodic table,3/20/14 14:52,3/20/14 14:52,5.205157
backhandspring,concepts,3/20/14 14:52,3/20/14 14:52,10.736138
backhandspring,missions,3/20/14 14:52,3/20/14 14:52,6.516058
backhandspring,solar system,3/20/14 14:52,3/20/14 14:52,3.112615
backhandspring,alien database,3/21/14 14:13,3/21/14 14:40,1633.228313
backhandspring,spectra,3/21/14 14:19,3/21/14 14:20,16.986274
backhandspring,spectra,3/21/14 14:20,3/21/14 14:23,185.21118
backhandspring,periodic table,3/21/14 14:20,3/21/14 14:23,155.128117
backhandspring,periodic table,3/21/14 14:23,3/21/14 14:23,3.711212
backhandspring,alien database,3/21/14 14:25,3/21/14 14:40,898.836682
backhandspring,notebook,3/21/14 14:26,3/21/14 14:30,242.728393
backhandspring,notebook,3/21/14 14:31,3/21/14 14:31,2.502721
backhandspring,notebook,3/21/14 14:34,3/21/14 14:38,224.777815
backhandspring,concepts,3/21/14 14:38,3/21/14 14:38,2.577098
backhandspring,missions,3/21/14 14:38,3/21/14 14:38,9.886034
backhandspring,alien database,3/24/14 14:21,3/24/14 14:34,763.142738
backhandspring,spectra,3/24/14 14:23,3/24/14 14:24,105.289013
backhandspring,periodic table,3/24/14 14:23,3/24/14 14:24,96.107884
backhandspring,spectra,3/24/14 14:26,3/24/14 14:26,27.503658
backhandspring,alien database,3/24/14 14:35,3/24/14 14:35,3.054858
backhandspring,probe launch,3/24/14 14:35,3/24/14 14:35,4.22711
backhandspring,mission control,3/24/14 14:41,3/24/14 14:41,1.411859
backhandspring,mission control,3/24/14 14:42,3/24/14 14:42,6.03094
backhandspring,mission control,3/24/14 14:42,3/24/14 14:42,2.21818
backhandspring,mission control,3/24/14 14:42,3/24/14 14:42,0.190626
backhandspring,probe design,3/24/14 14:42,3/24/14 14:43,25.724825
backhandspring,mission control,3/24/14 14:46,3/24/14 14:46,6.522773
backhandspring,mission control,3/24/14 14:46,3/24/14 14:47,5.717171
backhandspring,solar system,3/24/14 14:47,3/24/14 14:47,21.21666
backhandspring,notebook,3/24/14 14:47,3/24/14 14:51,229.400267
backhandspring,solar system,3/24/14 14:52,3/24/14 14:52,6.72072
backhandspring,mission control,3/24/14 14:54,3/24/14 14:54,6.564945
backhandspring,mission control,3/24/14 14:54,3/24/14 14:54,10.749469
backhandspring,alien database,3/25/14 14:19,3/25/14 14:53,2053.083384
backhandspring,missions,3/25/14 14:20,3/25/14 14:20,2.051188
backhandspring,solar system,3/25/14 14:20,3/25/14 14:22,75.288113
backhandspring,periodic table,3/25/14 14:27,3/25/14 14:27,4.160732
backhandspring,spectra,3/25/14 14:27,3/25/14 14:31,230.262815
backhandspring,periodic table,3/25/14 14:31,3/25/14 14:31,4.529518
backhandspring,spectra,3/25/14 14:33,3/25/14 14:34,4.652711
backhandspring,spectra,3/25/14 14:43,3/25/14 14:44,30.087023
backhandspring,periodic table,3/25/14 14:44,3/25/14 14:44,5.501911
backhandspring,spectra,3/25/14 14:48,3/25/14 14:49,71.874308
backhandspring,periodic table,3/25/14 14:48,3/25/14 14:48,4.407619
backhandspring,periodic table,3/25/14 14:48,3/25/14 14:49,11.584989
backhandspring,solar system,3/26/14 14:09,3/26/14 14:11,112.92631
backhandspring,probe design,3/26/14 14:11,3/26/14 14:12,61.879995
backhandspring,concepts,3/26/14 14:12,3/26/14 14:20,475.587532
backhandspring,solar system,3/26/14 14:12,3/26/14 14:20,466.78194
backhandspring,probe design,3/26/14 14:20,3/26/14 14:29,491.283971
backhandspring,probe launch,3/26/14 14:29,3/26/14 14:29,16.960978
backhandspring,mission control,3/26/14 14:30,3/26/14 14:35,345.904914
backhandspring,concepts,3/26/14 14:32,3/26/14 14:34,126.491566
backhandspring,solar system,3/26/14 14:34,3/26/14 14:35,61.277667
backhandspring,mission control,3/26/14 14:36,3/26/14 14:36,10.494839
backhandspring,mission control,3/26/14 14:36,3/26/14 14:36,3.889699
backhandspring,probe design,3/26/14 14:36,3/26/14 14:39,171.208572
backhandspring,probe launch,3/26/14 14:40,3/26/14 14:40,19.653885
backhandspring,mission control,3/26/14 14:40,3/26/14 14:41,26.748185
backhandspring,mission control,3/26/14 14:41,3/26/14 14:41,21.880609
backhandspring,alien database,3/26/14 14:42,3/26/14 14:42,10.474733
backhandspring,solar system,3/26/14 14:43,3/26/14 14:46,234.628787
backhandspring,mission control,3/26/14 14:46,3/26/14 14:47,2.133632
backhandspring,mission control,3/26/14 14:47,3/26/14 14:47,26.033532
backhandspring,solar system,3/26/14 14:51,3/26/14 14:51,33.159086
backhandspring,mission control,3/27/14 14:13,3/27/14 14:14,43.252206
backhandspring,solar system,3/27/14 14:14,3/27/14 14:15,23.924502
backhandspring,solar system,3/27/14 14:15,3/27/14 14:15,11.734649
backhandspring,solar system,3/27/14 14:15,3/27/14 14:18,184.60904
backhandspring,mission control,3/27/14 14:18,3/27/14 14:19,33.055669
backhandspring,probe design,3/27/14 14:19,3/27/14 14:26,411.715797
backhandspring,probe launch,3/27/14 14:26,3/27/14 14:27,11.259861
backhandspring,mission control,3/27/14 14:27,3/27/14 14:30,149.623513
backhandspring,mission control,3/27/14 14:30,3/27/14 14:30,30.9216
backhandspring,mission control,3/27/14 14:30,3/27/14 14:30,1.017496
backhandspring,mission control,3/27/14 14:30,3/27/14 14:30,4.061643
backhandspring,probe design,3/27/14 14:30,3/27/14 14:32,115.936311
backhandspring,notebook,3/27/14 14:37,3/27/14 14:37,37.82161
backhandspring,solar system,3/27/14 14:37,3/27/14 14:50,801.180245
backhandspring,probe design,3/27/14 14:50,3/27/14 14:53,145.780209
backhandspring,solar system,3/27/14 14:53,3/27/14 14:53,23.660526
backhandspring,probe design,3/27/14 14:53,3/27/14 14:54,48.167891
backhandspring,probe design,3/27/14 14:54,3/27/14 14:54,4.182802
backhandspring,mission control,3/28/14 14:05,3/28/14 14:06,31.232464
backhandspring,mission control,3/28/14 14:06,3/28/14 14:06,7.132005
backhandspring,probe design,3/28/14 14:06,3/28/14 14:08,136.717707
backhandspring,concepts,3/28/14 14:09,3/28/14 14:10,48.641788
backhandspring,solar system,3/28/14 14:10,3/28/14 14:17,465.902245
backhandspring,solar system,3/28/14 14:19,3/28/14 14:24,344.784712
backhandspring,solar system,3/28/14 14:24,3/28/14 14:24,3.45286
backhandspring,probe design,3/28/14 14:25,3/28/14 14:27,115.817743
backhandspring,probe design,3/28/14 14:27,3/28/14 14:32,298.116261
backhandspring,probe design,3/28/14 14:32,3/28/14 14:33,79.881848
backhandspring,probe launch,3/28/14 14:33,3/28/14 14:34,10.457402
backhandspring,mission control,3/28/14 14:34,3/28/14 14:37,212.375535
backhandspring,probe design,3/28/14 14:38,3/28/14 14:39,75.490172
backhandspring,probe launch,3/28/14 14:40,3/28/14 14:40,3.574355
backhandspring,probe launch,3/28/14 14:40,3/28/14 14:40,6.984815
backhandspring,mission control,3/28/14 14:40,3/28/14 14:41,75.504199
backhandspring,mission control,3/28/14 14:41,3/28/14 14:41,1.320171
backhandspring,probe design,3/28/14 14:51,3/28/14 14:53,165.317429
backhandspring,probe launch,3/28/14 14:54,3/28/14 14:54,17.129898
backhandspring,probe launch,3/31/14 14:45,3/31/14 14:45,0.497048
backhandspring,probe launch,3/31/14 14:45,3/31/14 14:45,0.597191
backhandspring,probe launch,3/31/14 14:45,3/31/14 14:45,0.802537
backhandspring,probe launch,3/31/14 14:45,3/31/14 14:45,0.82356
backhandspring,probe design,3/31/14 14:45,3/31/14 14:45,0.450405
backhandspring,probe design,3/31/14 14:45,3/31/14 14:45,2.839798
backhandspring,probe design,4/1/14 14:15,4/1/14 14:15,0.167673
backhandspring,probe design,4/1/14 14:16,4/1/14 14:16,0.602279
backhandspring,probe design,4/1/14 14:16,4/1/14 14:29,816.318665
backhandspring,probe launch,4/1/14 14:30,4/1/14 14:30,1.199282
backhandspring,probe launch,4/1/14 14:30,4/1/14 14:30,27.34367
backhandspring,mission control,4/1/14 14:31,4/1/14 14:31,0.781143
backhandspring,mission control,4/1/14 14:31,4/1/14 14:31,0.987812
backhandspring,mission control,4/1/14 14:31,4/1/14 14:31,0.987086
backhandspring,mission control,4/1/14 14:31,4/1/14 14:31,1.069749
backhandspring,probe design,4/1/14 14:31,4/1/14 14:31,1.188556
backhandspring,probe design,4/1/14 14:31,4/1/14 14:31,0.799821
backhandspring,probe design,4/1/14 14:31,4/1/14 14:31,13.325061
backhandspring,probe design,4/1/14 14:31,4/1/14 14:35,224.161745
backhandspring,probe design,4/1/14 14:35,4/1/14 14:35,1.18342
backhandspring,probe design,4/1/14 14:35,4/1/14 14:35,0.887223
backhandspring,probe design,4/1/14 14:35,4/1/14 14:36,7.666308
backhandspring,probe launch,4/1/14 14:36,4/1/14 14:36,1.016083
backhandspring,probe launch,4/1/14 14:36,4/1/14 14:36,27.217557
backhandspring,mission control,4/1/14 14:37,4/1/14 14:37,35.935451
backhandspring,mission control,4/1/14 14:38,4/1/14 14:38,21.446102
backhandspring,probe design,4/1/14 14:38,4/1/14 14:38,1.262976
backhandspring,probe design,4/1/14 14:38,4/1/14 14:41,135.14804
backhandspring,probe design,4/1/14 14:42,4/1/14 14:42,2.065693
backhandspring,probe launch,4/1/14 14:42,4/1/14 14:42,1.202403
backhandspring,probe launch,4/1/14 14:42,4/1/14 14:42,1.557275
backhandspring,probe design,4/1/14 14:43,4/1/14 14:45,117.109474
backhandspring,probe launch,4/1/14 14:45,4/1/14 14:45,19.531652
backhandspring,probe launch,4/1/14 14:46,4/1/14 14:46,1.140079
backhandspring,probe launch,4/1/14 14:46,4/1/14 14:46,0.017726
backhandspring,mission control,4/1/14 14:46,4/1/14 14:47,43.482051
backhandspring,probe design,4/1/14 14:47,4/1/14 14:47,11.079531
backhandspring,probe launch,4/1/14 14:48,4/1/14 14:48,4.193664
backhandspring,probe design,4/1/14 14:48,4/1/14 14:48,1.527961
backhandspring,probe design,4/1/14 14:48,4/1/14 14:51,159.317344
backhandspring,notebook,4/2/14 13:42,4/2/14 13:43,28.515949
backhandspring,alien database,4/2/14 14:07,4/2/14 14:08,78.471199
backhandspring,alien database,4/2/14 14:08,4/2/14 14:21,752.129928
backhandspring,solar system,4/2/14 14:16,4/2/14 14:18,127.219638
backhandspring,probe design,4/2/14 14:21,4/2/14 14:21,0.501429
backhandspring,probe design,4/2/14 14:21,4/2/14 14:24,177.142319
backhandspring,alien database,4/2/14 14:34,4/2/14 14:53,1115.951881
backhandspring,spectra,4/2/14 14:39,4/2/14 14:39,5.401196
backhandspring,periodic table,4/2/14 14:39,4/2/14 14:43,219.035225
backhandspring,spectra,4/2/14 14:43,4/2/14 14:44,35.577882
backhandspring,spectra,4/2/14 14:44,4/2/14 14:46,75.22652
backhandspring,periodic table,4/2/14 14:45,4/2/14 14:45,10.321071
backhandspring,spectra,4/2/14 14:48,4/2/14 14:49,35.432765
backhandspring,periodic table,4/2/14 14:48,4/2/14 14:49,13.57171
backhandspring,spectra,4/2/14 14:52,4/2/14 14:53,52.26232
backhandspring,probe launch,4/3/14 14:19,4/3/14 14:19,1.890954
backhandspring,mission control,4/3/14 14:19,4/3/14 14:20,60.462439
backhandspring,alien database,4/3/14 14:20,4/3/14 14:20,54.214933
backhandspring,alien database,4/3/14 14:21,4/3/14 14:23,167.012424
backhandspring,solar system,4/3/14 14:21,4/3/14 14:21,2.123039
backhandspring,missions,4/3/14 14:21,4/3/14 14:21,3.837609
backhandspring,concepts,4/3/14 14:21,4/3/14 14:21,1.933427
backhandspring,alien database,4/3/14 14:21,4/3/14 14:23,117.905421
backhandspring,spectra,4/3/14 14:22,4/3/14 14:23,55.73391
backhandspring,spectra,4/3/14 14:22,4/3/14 14:23,33.9009
backhandspring,mission control,4/3/14 14:24,4/3/14 14:25,49.330758
backhandspring,alien database,4/3/14 14:25,4/3/14 14:52,1641.800788
backhandspring,spectra,4/3/14 14:26,4/3/14 14:27,8.684395
backhandspring,concepts,4/3/14 14:28,4/3/14 14:40,712.386916
backhandspring,concepts,4/3/14 14:29,4/3/14 14:40,694.516123
backhandspring,concepts,4/3/14 14:32,4/3/14 14:40,497.285296
backhandspring,concepts,4/3/14 14:32,4/3/14 14:40,485.168726
backhandspring,probe design,4/3/14 14:40,4/3/14 14:43,169.260543
backhandspring,probe design,4/3/14 14:42,4/3/14 14:43,52.041212
backhandspring,mission control,4/3/14 14:46,4/3/14 14:46,0.248021
backhandspring,mission control,4/3/14 14:46,4/3/14 14:46,0.204631
backhandspring,probe launch,4/3/14 14:47,4/3/14 14:49,149.457826
backhandspring,concepts,4/3/14 14:47,4/3/14 14:52,297.972129
backhandspring,alien database,4/3/14 14:49,4/3/14 14:52,206.594747
backhandspring,alien database,4/4/14 14:23,4/4/14 14:36,780.1399
backhandspring,solar system,4/4/14 14:23,4/4/14 14:26,200.061937
backhandspring,solar system,4/4/14 14:26,4/4/14 14:31,275.210925
backhandspring,periodic table,4/4/14 14:28,4/4/14 14:28,1.864917
backhandspring,alien database,4/4/14 14:29,4/4/14 14:36,415.214751
backhandspring,missions,4/4/14 14:29,4/4/14 14:29,3.821262
backhandspring,concepts,4/4/14 14:29,4/4/14 14:29,2.323297
backhandspring,solar system,4/4/14 14:29,4/4/14 14:31,93.781298
backhandspring,concepts,4/4/14 14:31,4/4/14 14:31,2.220183
backhandspring,solar system,4/4/14 14:31,4/4/14 14:32,71.440373
backhandspring,spectra,4/4/14 14:31,4/4/14 14:31,3.776641
backhandspring,solar system,4/4/14 14:32,4/4/14 14:36,188.385473
backhandspring,mission control,4/4/14 14:36,4/4/14 14:36,0.464337
backhandspring,mission control,4/4/14 14:36,4/4/14 14:36,0.482691
backhandspring,mission control,4/4/14 14:36,4/4/14 14:36,12.785654
backhandspring,alien database,4/4/14 14:37,4/4/14 14:44,422.859677
backhandspring,solar system,4/4/14 14:37,4/4/14 14:41,223.255585
backhandspring,solar system,4/4/14 14:42,4/4/14 14:44,123.24854
backhandspring,probe design,4/4/14 14:44,4/4/14 14:48,221.33032
backhandspring,solar system,4/4/14 14:45,4/4/14 14:51,370.486513
backhandspring,mission control,4/4/14 14:48,4/4/14 14:48,4.681025
backhandspring,probe launch,4/4/14 14:48,4/4/14 14:49,10.960453
backhandspring,probe launch,4/4/14 14:48,4/4/14 14:49,9.716821
backhandspring,mission control,4/4/14 14:49,4/4/14 14:49,0.464143
backhandspring,mission control,4/4/14 14:49,4/4/14 14:51,100.260886
fatkid34,notebook,3/17/14 14:43,3/17/14 14:43,6.888587
fatkid34,solar system,3/17/14 14:43,3/17/14 14:43,4.936793
fatkid34,probe design,3/17/14 14:43,3/17/14 14:52,555.072042
fatkid34,mission control,3/17/14 14:46,3/17/14 14:46,4.569471
fatkid34,alien database,3/17/14 14:46,3/17/14 14:47,31.166058
fatkid34,probe launch,3/17/14 14:47,3/17/14 14:47,2.493063
fatkid34,mission control,3/17/14 14:47,3/17/14 14:47,3.607534
fatkid34,probe design,3/17/14 14:48,3/17/14 14:52,280.319861
fatkid34,probe launch,3/17/14 14:51,3/17/14 14:52,11.161514
fatkid34,mission control,3/17/14 14:52,3/17/14 14:52,22.955256
fatkid34,notebook,3/17/14 14:52,3/17/14 14:52,2.74721
fatkid34,probe design,3/18/14 14:46,3/18/14 14:49,170.087969
fatkid34,mission control,3/18/14 14:46,3/18/14 14:49,137.018107
fatkid34,alien database,3/18/14 14:48,3/18/14 14:48,11.341836
fatkid34,probe design,3/18/14 14:48,3/18/14 14:49,1.190432
fatkid34,probe launch,3/18/14 14:49,3/18/14 14:49,0.102509
fatkid34,probe launch,3/20/14 14:13,3/20/14 14:13,1.72738
fatkid34,alien database,3/20/14 14:13,3/20/14 14:13,12.197172
fatkid34,mission control,3/20/14 14:13,3/20/14 14:53,2375.913404
fatkid34,notebook,3/20/14 14:16,3/20/14 14:17,32.406788
fatkid34,notebook,3/20/14 14:17,3/20/14 14:17,6.315371
fatkid34,notebook,3/20/14 14:18,3/20/14 14:18,32.895493
fatkid34,missions,3/20/14 14:18,3/20/14 14:19,6.443892
fatkid34,concepts,3/20/14 14:19,3/20/14 14:19,2.766059
fatkid34,spectra,3/20/14 14:19,3/20/14 14:19,3.416058
fatkid34,periodic table,3/20/14 14:19,3/20/14 14:19,1.167092
fatkid34,probe design,3/20/14 14:21,3/20/14 14:53,1936.468508
fatkid34,probe design,3/20/14 14:22,3/20/14 14:53,1838.496642
fatkid34,alien database,3/20/14 14:24,3/20/14 14:27,144.580406
fatkid34,notebook,3/20/14 14:26,3/20/14 14:27,17.653972
fatkid34,alien database,3/20/14 14:27,3/20/14 14:27,7.018384
fatkid34,mission control,3/20/14 14:27,3/20/14 14:53,1538.20627
fatkid34,spectra,3/20/14 14:28,3/20/14 14:28,3.646315
fatkid34,spectra,3/20/14 14:28,3/20/14 14:28,5.75442
fatkid34,alien database,3/20/14 14:28,3/20/14 14:30,67.194051
fatkid34,periodic table,3/20/14 14:29,3/20/14 14:29,3.275889
fatkid34,spectra,3/20/14 14:29,3/20/14 14:29,15.533531
fatkid34,notebook,3/20/14 14:29,3/20/14 14:30,93.281467
fatkid34,periodic table,3/20/14 14:29,3/20/14 14:29,9.848395
fatkid34,notebook,3/20/14 14:30,3/20/14 14:30,23.405518
fatkid34,mission control,3/20/14 14:31,3/20/14 14:53,1325.730325
fatkid34,probe design,3/20/14 14:32,3/20/14 14:53,1274.866795
fatkid34,probe design,3/20/14 14:35,3/20/14 14:53,1096.139048
fatkid34,notebook,3/20/14 14:35,3/20/14 14:35,5.841968
fatkid34,missions,3/20/14 14:35,3/20/14 14:35,12.467958
fatkid34,probe launch,3/20/14 14:37,3/20/14 14:37,2.308257
fatkid34,probe design,3/20/14 14:37,3/20/14 14:53,938.406603
fatkid34,probe launch,3/20/14 14:40,3/20/14 14:53,762.146919
fatkid34,mission control,3/20/14 14:41,3/20/14 14:53,716.562196
fatkid34,notebook,3/20/14 14:42,3/20/14 14:42,33.73239
fatkid34,alien database,3/20/14 14:43,3/20/14 14:53,585.724603
fatkid34,spectra,3/20/14 14:45,3/20/14 14:45,19.538872
fatkid34,periodic table,3/20/14 14:45,3/20/14 14:46,7.230772
fatkid34,spectra,3/20/14 14:46,3/20/14 14:47,36.694896
fatkid34,periodic table,3/20/14 14:47,3/20/14 14:47,19.278422
fatkid34,spectra,3/20/14 14:48,3/20/14 14:48,7.467595
fatkid34,spectra,3/20/14 14:48,3/20/14 14:48,8.826474
fatkid34,periodic table,3/20/14 14:48,3/20/14 14:49,7.526366
fatkid34,notebook,3/20/14 14:51,3/20/14 14:52,75.913357
fatkid34,probe design,3/21/14 14:11,3/21/14 14:41,1829.866269
